Player,Games Played,Avg FPTS,Projected Avg FPTS,Consistency Value,Injury Risk Value,Consistency and Injury Risk,Overall Score
kyle anderson,79.0,21.1,20.05,0.512,1.0,0.84,20.17
norm powell,76.0,21.83,20.79,0.532,0.8867,0.77,20.13
de’anthony melton,38.0,26.26,25.8,0.56,0.8822,0.77,20.1
toumani camara,70.0,18.03,20.96,0.495,1.0,0.83,20.09
jaden mcdaniels,72.0,20.54,20.74,0.478,1.0,0.83,20.08
tari eason,22.0,26.14,28.62,0.625,0.8378,0.77,20.02
simone fontecchio,66.0,20.45,22.39,0.382,0.8311,0.68,19.89
precious achiuwa,74.0,20.54,20.74,0.398,0.9444,0.76,19.8
kevin huerter,64.0,22.27,21.88,0.37,0.9444,0.75,19.73
dillon brooks,72.0,21.1,20.87,0.402,0.9444,0.76,19.72
jabari walker,72.0,19.03,20.84,0.408,0.9378,0.76,19.69
wendell carter jr,55.0,24.25,23.82,0.528,0.6867,0.63,19.46
harrison barnes,82.0,20.33,19.22,0.392,1.0,0.8,19.38
sam hauser,79.0,18.77,19.61,0.398,0.9667,0.78,19.34
dyson daniels,61.0,20.16,22.07,0.45,0.8244,0.7,19.21
eric gordon,68.0,21.38,20.79,0.385,0.94,0.75,19.16
caleb martin,64.0,20.92,21.27,0.475,0.8667,0.74,19.11
nickeil alexander-walker,82.0,18.95,19.27,0.378,0.9311,0.75,19.1
dorian finney-smith,68.0,20.47,20.39,0.462,0.9444,0.78,19.0
jalen smith,61.0,21.28,21.49,0.512,0.8378,0.73,18.91
kyle lowry,60.0,22.87,22.24,0.502,0.7178,0.65,18.87
moritz wagner,80.0,19.56,19.22,0.438,0.9133,0.75,18.86
reggie jackson,82.0,19.5,18.74,0.362,1.0,0.79,18.83
isaiah stewart,46.0,23.43,23.66,0.512,0.7378,0.66,18.51
cam whitmore,47.0,19.6,22.78,0.412,0.8578,0.71,18.31
christian braun,82.0,16.48,18.04,0.365,1.0,0.79,18.13
tre mann,41.0,23.27,24.31,0.37,0.7444,0.62,18.09
taurean prince,78.0,18.56,18.49,0.412,0.9511,0.77,18.09
terrance mann,75.0,18.08,18.38,0.442,1.0,0.81,17.95
peyton watson,80.0,16.81,18.41,0.365,0.9156,0.73,17.94
vasilije micic,60.0,16.08,20.42,0.302,0.9111,0.71,17.74
matisse thybulle,65.0,19.17,19.49,0.398,0.8778,0.72,17.48
marvin bagley iii,50.0,22.96,22.56,0.507,0.5778,0.55,17.27
derrick jones jr,76.0,18.01,17.94,0.355,0.9022,0.72,17.07
marcus smart,20.0,28.5,27.08,0.452,0.6378,0.58,16.95
georges niang,82.0,16.66,16.6,0.372,1.0,0.79,16.68
bojan bogdanovic,57.0,20.88,19.84,0.348,0.8111,0.66,16.6
isaiah joe,78.0,16.55,16.71,0.418,0.9689,0.79,16.46
kris dunn,66.0,19.58,19.51,0.435,0.58,0.53,16.35
john konchar,55.0,18.73,19.04,0.408,0.9178,0.75,16.32
patrick williams,43.0,21.14,21.35,0.422,0.7578,0.65,16.31
